title,desc
3D,3D modeling is the process of virtually developing the surface and structure of a 3D object.
Ajax,Ajax is a technique for creating interactive web applications.
Algorithm,Algorithms are self-contained sequences that carry out a variety of tasks.
Amp,Amp is a non-blocking concurrency framework for PHP.
Android,Android is an operating system built by Google designed for mobile devices.
Angular,Angular is an open source web application platform.
Ansible,Ansible is a simple and powerful automation engine.
API,An API (Application Programming Interface) is a collection of protocols and subroutines for building software.
Arduino,Arduino is an open source hardware and software company and maker community.
ASP.NET,ASP.NET is a web framework for building modern web apps and services.
Atom,Atom is a open source text editor built with web technologies.
Awesome Lists,An awesome list is a list of awesome things curated by the community.
Amazon Web Services,Amazon Web Services provides on-demand cloud computing platforms on a subscription basis.
Azure,Azure is a cloud computing service created by Microsoft.
Babel,"Babel is a compiler for writing next generation JavaScript, today."
Bash,Bash is a shell and command language interpreter for the GNU operating system.
Bitcoin,Bitcoin is a cryptocurrency developed by Satoshi Nakamoto.
Bootstrap,"Bootstrap is an HTML, CSS, and JavaScript framework."
Bot,A bot is an application that runs automated tasks over the Internet.
C,C is a general purpose programming language that first appeared in 1972.
Chrome,Chrome is a web browser from the tech company Google.
Chrome extension,Google Chrome Extensions are add-ons that allow users to customize their Chrome web browser.
Command line interface,"A CLI, or command-line interface, is a console that helps users issue commands to a program."
Clojure,"Clojure is a dynamic, general-purpose programming language."
Code quality,"Automate your code review with style, quality, security, and testâ€‘coverage checks when you need them."
Code review,Ensure your code meets quality standards and ship with confidence.
Compiler,Compilers are software that translate higher-level programming languages to lower-level languages (e.g. machine code).
Continuous integration,"Automatically build and test your code as you push it upstream, preventing bugs from being deployed to production."
COVID-19,The coronavirus disease 2019 (COVID-19) is an infectious disease caused by SARS-CoV-2.
C++,C++ is a general purpose and object-oriented programming language.
